QoS_bandwidth,QoS_delay,QoS_jitter,V_content,V_complexity-class,QoA_resolution,QoA-bitrate,QoA-frame_rate,QoD-cpu_mhz-avg,QoD_cpu-nbr,QoD-cpu_core-nbr,QoD_screen-resolotion,QoD_screen-mhz,QoD-ram_clock-speed,QoD_ram-size,MOS
2048,0.307,0.049,1,0,240,386.4,31.93333333,199.258502,4,2,1366 x 768,76.5,1333,4096,3
2048,0.421,0.058,1,0,240,387.8,32.06666667,0,4,2,1366 x 768,76.5,1333,4096,3
2048,0.399,0.07,1,0,240,389.2,29.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,3
2048,0.427,0.046,1,0,240,393.25,32.5,0,4,2,1366 x 768,76.5,1333,4096,3
2048,0.328,0.036,1,0,240,393.25,35,0,2,1,1024 x 600,58.8,533,1024,4
1536,0.436,0.046,1,0,240,393.6,32,845.2336955,4,2,1366 x 768,76.5,1333,4096,3
2048,0.33,0.052,1,0,240,393.8,32,83.9100047,2,1,1024 x 600,58.8,533,1024,3
1536,0.458,0.078,1,0,240,395.8,31.93333333,0,8,4,1920 x 1200,154,1600,4096,2
2048,0.316,0.052,2,2,240,399.6,32.06666667,0,2,1,1024 x 600,58.8,533,1024,3
1536,0.414,0.068,1,0,240,405.25,32.5,848.9995419,8,4,1920 x 1200,154,1600,4096,2
2048,0.304,0.039,1,0,240,405.6,32,801.8590899,4,2,1366 x 768,76.5,1333,4096,3
2048,0.489,0.082,1,0,240,426.6,31.93333333,565.9996946,8,4,1920 x 1200,154,1600,4096,2
1536,0.377,0.063,1,0,240,429.2,34.66666667,0,2,1,1024 x 600,58.8,533,1024,3
1536,0.393,0.054,2,2,240,441.4,33.93333333,0,2,1,1024 x 600,58.8,533,1024,3
2048,0.48,0.048,2,2,240,455.6,32,0,8,4,1920 x 1200,154,1600,4096,3
1536,0.347,0.036,2,2,240,460.75,32.5,848.9995419,8,4,1920 x 1200,154,1600,4096,2
2048,0.505,0.051,2,2,240,487.4,31.93333333,894.924095,8,4,1920 x 1200,154,1600,4096,3
1024,0.341,0.044,1,0,480,490.2,23.26666667,748.7472171,8,4,1920 x 1200,154,1600,4096,4
1024,0.433,0.038,2,2,240,498.4,31.93333333,0,4,2,1366 x 768,76.5,1333,4096,3
2048,0.334,0.028,2,2,240,498.4,30,565.9996946,8,4,1920 x 1200,154,1600,4096,3
1536,0.48,0.065,1,0,720,531.4,9,0,8,4,1920 x 1200,154,1600,4096,4
1024,0.429,0.037,2,2,240,534.5,15.25,686.591222,4,2,1366 x 768,76.5,1333,4096,1
2048,0.33,0.027,2,2,240,537.4,29.93333333,0,8,4,1920 x 1200,154,1600,4096,3
1536,0.488,0.077,2,2,240,564.4,32,848.9995419,8,4,1920 x 1200,154,1600,4096,3
2048,0.412,0.048,2,2,240,564.4,32,157.1348403,4,2,1366 x 768,76.5,1333,4096,3
2048,0.438,0.044,2,2,240,566.5,30,1158.984325,8,4,1920 x 1200,154,1600,4096,2
2560,0.486,0.078,1,0,1080,575.6,10,894.924095,8,4,1920 x 1200,154,1600,4096,4
2048,0.408,0.033,2,2,240,585.6,32,679.3498526,4,2,1366 x 768,76.5,1333,4096,3
2048,0.477,0.05,2,2,240,585.6,32,848.9995419,8,4,1920 x 1200,154,1600,4096,3
2048,0.313,0.072,2,2,240,593.8,37.13333333,0,2,1,1024 x 600,58.8,533,1024,3
1024,0.3,0.039,2,2,240,601.6,32,798.1120779,4,2,1366 x 768,76.5,1333,4096,3
1024,0.531,0.076,2,2,240,601.6,32,894.924095,8,4,1920 x 1200,154,1600,4096,3
1536,0.436,0.046,2,2,240,601.6,31.93333333,707.1732461,4,2,1366 x 768,76.5,1333,4096,3
2048,0.341,0.033,2,2,240,601.6,32,848.9995419,8,4,1920 x 1200,154,1600,4096,3
3072,0.496,0.116,1,0,360,604.4,31.66666667,748.7472171,8,4,1920 x 1200,154,1600,4096,5
2048,0.377,0.056,2,2,240,606.8,31.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,3
1024,0.305,0.047,2,2,240,607.6,34.06666667,0,2,1,1024 x 600,58.8,533,1024,3
1536,0.418,0.039,2,2,720,611.8,27.33333333,801.8590899,4,2,1366 x 768,76.5,1333,4096,4
2048,0.3,0.033,1,0,480,631.2,31.8,67.05571665,4,2,1366 x 768,76.5,1333,4096,4
2048,0.39,0.051,2,2,240,635.8,30,533.638894,4,2,1366 x 768,76.5,1333,4096,3
2048,0.332,0.032,2,2,240,635.8,32,565.9996946,8,4,1920 x 1200,154,1600,4096,3
1024,0.308,0.055,2,2,240,647.8,32.06666667,894.924095,8,4,1920 x 1200,154,1600,4096,3
2560,0.48,0.073,1,0,1080,660.4,32,743.448777,8,4,1920 x 1200,154,1600,4096,4
3584,0.334,0.065,1,0,480,670.6,31.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,5
3072,0.284,0.032,1,0,480,677.25,34,0,2,1,1024 x 600,58.8,533,1024,4
2560,0.386,0.052,1,0,480,699.6,31.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,4
2048,0.403,0.06,1,0,480,704.4,29.66666667,0,4,2,1366 x 768,76.5,1333,4096,4
1024,0.377,0.063,1,0,480,705.2,28.8,83.9100047,2,1,1024 x 600,58.8,533,1024,3
2048,0.439,0.072,1,0,360,707.75,27.25,1301.2853,8,4,1920 x 1200,154,1600,4096,4
3072,0.274,0.039,1,0,360,708.8,34.33333333,0,2,1,1024 x 600,58.8,533,1024,5
3072,0.454,0.051,1,0,480,715.6,25.33333333,565.9996946,8,4,1920 x 1200,154,1600,4096,4
2048,0.302,0.046,1,0,480,720.4,26.4,0,2,1,1024 x 600,58.8,533,1024,5
3072,0.435,0.049,1,0,360,721.2,31.86666667,707.1732461,4,2,1366 x 768,76.5,1333,4096,4
3584,0.348,0.043,1,0,480,724.2,31.66666667,565.9996946,8,4,1920 x 1200,154,1600,4096,4
2048,0.349,0.068,1,0,480,725.6,28.93333333,83.9100047,2,1,1024 x 600,58.8,533,1024,4
3072,0.499,0.018,1,0,480,733.8,31.6,0,4,2,1366 x 768,76.5,1333,4096,4
1024,0.403,0.06,2,2,360,771.2,25.13333333,126.0221419,4,2,1366 x 768,76.5,1333,4096,2
3072,0.318,0.027,1,0,360,772.2,31.86666667,609.4017305,4,2,1366 x 768,76.5,1333,4096,4
3072,0.318,0.027,1,0,360,772.2,31.86666667,609.4017305,4,2,1366 x 768,76.5,1333,4096,4
3584,0.333,0.034,2,2,480,777.8,31.93333333,218.0045871,2,1,1024 x 600,58.8,533,1024,5
1024,0.407,0.061,1,0,144,78.4,10.66666667,822.3139438,4,2,1366 x 768,76.5,1333,4096,2
1024,0.487,0.036,1,0,144,78.4,10.66666667,845.2336955,4,2,1366 x 768,76.5,1333,4096,2
1536,0.527,0.056,1,0,144,78.4,10.66666667,634.4260359,4,2,1366 x 768,76.5,1333,4096,2
1536,0.285,0.054,1,0,144,78.6,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,2
1024,0.274,0.039,1,0,144,78.8,10.66666667,0,2,1,1024 x 600,58.8,533,1024,2
3072,0.411,0.032,2,2,360,781.4,31.93333333,631.691908,4,2,1366 x 768,76.5,1333,4096,5
3584,0.319,0.05,1,0,480,782.2,32.2,83.9100047,2,1,1024 x 600,58.8,533,1024,5
3072,0.444,0.049,2,2,360,784.6,32,0,4,2,1366 x 768,76.5,1333,4096,4
3072,0.309,0.03,2,2,480,784.6,31.93333333,707.1732461,4,2,1366 x 768,76.5,1333,4096,4
1536,0.386,0.052,1,0,240,789.8,11.4,894.924095,8,4,1920 x 1200,154,1600,4096,1
1536,0.285,0.054,1,0,144,79.2,10,848.9995419,8,4,1920 x 1200,154,1600,4096,2
1536,0.45,0.033,1,0,144,79.2,10.66666667,182.8776154,2,1,1024 x 600,58.8,533,1024,2
1024,0.465,0.08,1,0,144,79.4,12,0,2,1,1024 x 600,58.8,533,1024,1
1024,0.411,0.032,1,0,144,79.4,10.66666667,751.7240924,4,2,1366 x 768,76.5,1333,4096,1
1024,0.483,0.034,1,0,144,79.4,10.66666667,822.4175444,4,2,1366 x 768,76.5,1333,4096,1
1024,0.48,0.073,1,0,144,79.4,10,848.9995419,8,4,1920 x 1200,154,1600,4096,1
1024,0.48,0.054,1,0,144,79.4,10,0,8,4,1920 x 1200,154,1600,4096,1
1536,0.433,0.032,1,0,144,79.4,10,533.638894,4,2,1366 x 768,76.5,1333,4096,1
1536,0.481,0.041,1,0,144,79.4,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,1
1536,0.483,0.064,1,0,144,79.4,10.66666667,0,8,4,1920 x 1200,154,1600,4096,1
1024,0.309,0.03,1,0,144,79.4,10.66666667,585.2635578,4,2,1366 x 768,76.5,1333,4096,2
1536,0.456,0.042,1,0,144,79.4,11.4,83.9100047,2,1,1024 x 600,58.8,533,1024,2
3072,0.421,0.058,1,0,360,790.2,31.73333333,835.8275267,4,2,1366 x 768,76.5,1333,4096,4
3584,0.289,0.037,1,0,480,793.6,34.4,0,2,1,1024 x 600,58.8,533,1024,4
1536,0.354,0.065,1,0,144,80.2,10.66666667,848.9210291,8,4,1920 x 1200,154,1600,4096,1
1024,0.328,0.049,1,0,144,80.2,11.46666667,178,2,1,1024 x 600,58.8,533,1024,3
1024,0.454,0.051,2,2,144,80.4,10.66666667,565.9996946,8,4,1920 x 1200,154,1600,4096,1
1024,0.435,0.071,2,2,144,80.4,10.66666667,0,8,4,1920 x 1200,154,1600,4096,1
1536,0.393,0.026,2,2,144,80.4,10.66666667,671.8521295,4,2,1366 x 768,76.5,1333,4096,1
1536,0.324,0.032,2,2,144,80.4,10.66666667,748.7472171,8,4,1920 x 1200,154,1600,4096,1
1024,0.487,0.062,2,2,144,80.4,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,2
1536,0.37,0.035,2,2,144,80.4,10.66666667,125.8650071,2,1,1024 x 600,58.8,533,1024,2
1536,0.47,0.084,2,2,144,80.4,11.33333333,0,2,1,1024 x 600,58.8,533,1024,2
1536,0.433,0.032,2,2,144,80.4,10.66666667,558.658004,4,2,1366 x 768,76.5,1333,4096,2
1536,0.304,0.043,2,2,144,80.4,10.66666667,581.6495699,4,2,1366 x 768,76.5,1333,4096,2
1536,0.497,0.084,2,2,144,80.4,10,565.9996946,8,4,1920 x 1200,154,1600,4096,2
1536,0.477,0.057,2,2,144,80.4,10,565.9996946,8,4,1920 x 1200,154,1600,4096,2
1536,0.363,0.063,2,2,144,80.4,10.66666667,748.7472171,8,4,1920 x 1200,154,1600,4096,2
1024,0.303,0.043,2,2,144,80.6,11.4,0,2,1,1024 x 600,58.8,533,1024,2
1536,0.289,0.037,2,2,144,80.6,11.33333333,83.9100047,2,1,1024 x 600,58.8,533,1024,2
3072,0.408,0.033,1,0,360,803.8,32.2,801.8590899,4,2,1366 x 768,76.5,1333,4096,4
3584,0.502,0.058,1,0,480,804.2,31.86666667,748.7472171,8,4,1920 x 1200,154,1600,4096,5
3072,0.407,0.063,1,0,360,804.6,34.33333333,0,4,2,1366 x 768,76.5,1333,4096,4
3072,0.377,0.056,1,0,360,807.6,31.66666667,748.7175373,8,4,1920 x 1200,154,1600,4096,4
1536,0.461,0.041,1,0,144,81.8,10.66666667,0,2,1,1024 x 600,58.8,533,1024,2
1536,0.393,0.055,1,0,144,81.8,11.4,0,2,1,1024 x 600,58.8,533,1024,2
1536,0.357,0.065,1,0,144,81.8,11.53333333,0,2,1,1024 x 600,58.8,533,1024,2
1024,0.435,0.069,2,2,144,82.25,10,865.0584366,8,4,1920 x 1200,154,1600,4096,1
1024,0.454,0.08,1,0,144,82.25,10.83333333,471.4045208,8,4,1920 x 1200,154,1600,4096,1
1024,0.426,0.047,1,0,144,82.25,10.83333333,1225.293203,8,4,1920 x 1200,154,1600,4096,1
1536,0.494,0.124,2,2,144,82.25,10.83333333,552.140772,4,2,1366 x 768,76.5,1333,4096,1
1024,0.424,0.068,1,0,144,82.25,10.83333333,784.9559082,4,2,1366 x 768,76.5,1333,4096,2
2048,0.502,0.033,1,0,240,82.25,11.66666667,167.8200094,2,1,1024 x 600,58.8,533,1024,2
1024,0.472,0.085,2,2,240,82.25,10.83333333,1352.758562,8,4,1920 x 1200,154,1600,4096,1
3072,0.48,0.074,2,2,360,823.2,31.66666667,848.9995419,8,4,1920 x 1200,154,1600,4096,4
2560,0.316,0.052,1,0,480,824.2,36,0,2,1,1024 x 600,58.8,533,1024,4
3072,0.523,0.054,2,2,480,831.25,34,182.8776154,2,1,1024 x 600,58.8,533,1024,5
3072,0.341,0.033,1,0,360,839.8,31.73333333,894.924095,8,4,2006 x 1200,154,1600,4096,5
3584,0.324,0.032,1,0,480,839.8,31.73333333,0,8,4,1920 x 1200,154,1600,4096,4
3072,0.425,0.029,1,0,360,843.2,31.93333333,801.8590899,4,2,1366 x 768,76.5,1333,4096,3
3072,0.477,0.057,1,0,360,843.4,31.66666667,848.9995419,8,4,1920 x 1200,154,1600,4096,5
3072,0.264,0.039,1,0,360,844.5,30.83333333,0,2,1,1024 x 600,58.8,533,1024,4
2560,0.411,0.038,2,2,360,848.25,34.16666667,614.0778291,4,2,1366 x 768,76.5,1333,4096,5
1024,0.494,0.067,1,0,144,85.2,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,1
1536,0.439,0.036,1,0,144,85.2,10.66666667,707.1732461,4,2,1366 x 768,76.5,1333,4096,1
1024,0.325,0.039,1,0,144,85.2,10.66666667,894.924095,8,4,1920 x 1200,154,1600,4096,2
1024,0.285,0.046,2,2,144,85.4,10.66666667,748.9830142,4,2,1366 x 768,76.5,1333,4096,2
1024,0.333,0.034,1,0,144,85.8,10.66666667,0,2,1,1024 x 600,58.8,533,1024,2
3072,0.49,0.054,2,2,360,850.2,31.73333333,848.9995419,8,4,1920 x 1200,154,1600,4096,4
3072,0.449,0.047,1,0,480,865.6,34.2,83.9100047,2,1,1024 x 600,58.8,533,1024,4
2048,0.303,0.048,1,0,360,869.6,26.6,178,2,1,1024 x 600,58.8,533,1024,4
3584,0.425,0.029,1,0,480,875.2,32.2,31.42696805,4,2,1366 x 768,76.5,1333,4096,4
2560,0.47,0.084,1,0,480,895.2,34.66666667,0,2,1,1024 x 600,58.8,533,1024,5
3584,0.502,0.058,2,2,480,895.8,31.73333333,565.9996946,8,4,1920 x 1200,154,1600,4096,4
1536,0.357,0.065,2,2,144,90.6,12.13333333,0,2,1,1024 x 600,58.8,533,1024,2
3584,0.344,0.049,1,0,480,905.8,31.66666667,0,8,4,1920 x 1200,154,1600,4096,4
3072,0.447,0.056,1,0,360,920.4,31.13333333,789.2238725,8,4,1920 x 1200,154,1600,4096,4
3072,0.273,0.023,2,2,480,921.8,34.46666667,83.9100047,2,1,1024 x 600,58.8,533,1024,5
3072,0.292,0.037,2,2,360,938.6,32.13333333,801.8590899,4,2,1366 x 768,76.5,1333,4096,5
3584,0.425,0.029,2,2,480,938.6,32.06666667,747.4600613,4,2,1366 x 768,76.5,1333,4096,4
2560,0.305,0.061,1,0,360,951.6,34.86666667,0,2,1,1024 x 600,58.8,533,1024,5
3072,0.376,0.046,1,0,360,958.6,32.13333333,534.5727266,4,2,1366 x 768,76.5,1333,4096,4
3072,0.487,0.042,2,2,360,968.2,31.73333333,0,8,4,1920 x 1200,154,1600,4096,4
3072,0.379,0.073,2,2,360,968.2,31.73333333,748.7472171,8,4,1920 x 1200,154,1600,4096,5
2560,0.516,0.064,2,2,480,968.2,31.73333333,894.924095,8,4,1920 x 1200,154,1600,4096,4
3584,0.465,0.071,2,2,480,968.2,31.73333333,0,8,4,1920 x 1200,154,1600,4096,5
3072,0.304,0.039,2,2,480,969.6,32,707.1732461,4,2,1366 x 768,76.5,1333,4096,4
3072,0.462,0.043,2,2,360,974.25,30.5,1120.119152,8,4,1920 x 1200,154,1600,4096,4
3072,0.424,0.046,1,0,360,974.4,28.93333333,754.8723872,4,2,1366 x 768,76.5,1333,4096,5
3072,0.319,0.05,2,2,360,978.2,34.46666667,83.9100047,2,1,1024 x 600,58.8,533,1024,5
1024,0.349,0.068,2,2,144,98.4,10.66666667,178,2,1,1024 x 600,58.8,533,1024,2
3072,0.328,0.052,1,0,480,985.8,32.2,0,2,1,1024 x 600,58.8,533,1024,4